timestamp,version_a_team,version_b_team,winner
2025-07-20 18:10:10,charizardcmpass,duglaxcune,Version B
2025-07-20 18:13:46,charizardcmpass,medichamphysoff,Version B
2025-07-20 18:17:40,charizardcmpass,milosdpass,Version A
2025-07-20 18:24:06,charizardcmpass,mybandmence,Version A
2025-07-20 18:26:32,charizardcmpass,sample,Version B
2025-07-20 18:33:16,charizardcmpass,starmietss,Version A
2025-07-20 18:39:51,charizardcmpass,virgin,Version A
2025-07-20 18:49:55,duglaxcune,charizardcmpass,Version B
2025-07-20 18:55:58,duglaxcune,medichamphysoff,Version A
2025-07-20 19:05:43,duglaxcune,milosdpass,Version A
2025-07-20 19:12:08,duglaxcune,mybandmence,Version A
2025-07-20 19:18:00,duglaxcune,sample,Version A
2025-07-20 19:26:11,duglaxcune,starmietss,Version A
2025-07-20 19:48:22,duglaxcune,virgin,Version B
2025-07-20 19:53:31,medichamphysoff,charizardcmpass,Version B
2025-07-20 20:04:11,medichamphysoff,duglaxcune,Version A
2025-07-20 20:08:20,medichamphysoff,milosdpass,Version A
2025-07-20 20:11:42,medichamphysoff,mybandmence,Version A
2025-07-20 20:15:09,medichamphysoff,sample,Version A
2025-07-20 20:19:21,medichamphysoff,starmietss,Version B
2025-07-20 20:23:40,medichamphysoff,virgin,Version A
2025-07-20 20:29:35,milosdpass,charizardcmpass,Version A
2025-07-20 20:36:11,milosdpass,duglaxcune,Version B
2025-07-20 20:40:47,milosdpass,medichamphysoff,Version A
2025-07-20 20:47:23,milosdpass,mybandmence,Version A
2025-07-20 20:51:17,milosdpass,sample,Version B
2025-07-20 20:57:37,milosdpass,starmietss,Version A
2025-07-20 21:12:00,milosdpass,virgin,Version B
2025-07-20 21:17:04,mybandmence,charizardcmpass,Version A
2025-07-20 21:24:00,mybandmence,duglaxcune,Version B
2025-07-20 21:27:40,mybandmence,medichamphysoff,Version B
2025-07-20 21:33:21,mybandmence,milosdpass,Version A
2025-07-20 21:37:03,mybandmence,sample,Version B
2025-07-20 21:41:03,mybandmence,starmietss,Version A
2025-07-20 21:44:30,mybandmence,virgin,Version A
2025-07-20 21:49:19,sample,charizardcmpass,Version A
2025-07-20 21:59:11,sample,duglaxcune,Version A
2025-07-20 22:02:00,sample,medichamphysoff,Version A
2025-07-20 22:07:50,sample,milosdpass,Version A
2025-07-20 22:13:18,sample,mybandmence,Version A
2025-07-20 22:18:52,sample,starmietss,Version A
2025-07-20 22:24:00,sample,virgin,Version A
2025-07-20 22:28:12,starmietss,charizardcmpass,Version B
2025-07-20 22:41:59,starmietss,duglaxcune,Version A
2025-07-20 22:45:21,starmietss,medichamphysoff,Version A
2025-07-20 22:50:26,starmietss,milosdpass,Version B
2025-07-20 22:54:13,starmietss,mybandmence,Version A
2025-07-20 23:00:23,starmietss,sample,Version B
2025-07-20 23:09:01,starmietss,virgin,Version B
2025-07-20 23:15:28,virgin,charizardcmpass,Version A
2025-07-20 23:37:57,virgin,duglaxcune,Version B
2025-07-20 23:45:40,virgin,medichamphysoff,Version A
2025-07-20 23:54:07,virgin,milosdpass,Version A
2025-07-21 00:00:22,virgin,mybandmence,Version B
2025-07-21 00:10:41,virgin,sample,Version A
2025-07-31 00:09:32,mybandmence,sample,Version A
